sku_id,total_available,total_sold,mean_sell_through,avg_weekly_sales,current_on_hand_units,reserved_units,safety_threshold,avg_inventory_age,sku_name,category,season,region_group,unit_retail_price,unit_target_margin,launch_week,lifecycle_status,weeks_of_stock,mover_class,recommended_discount_pct,action_alert,inventory_value_at_risk,expected_velocity_lift,projected_capital_recovery
SKU_001,27572,15828,0.5779166666666666,1319.0,4472,700,1996,28.5,TrendWear Jacket 001,Jackets,FW26,Global,140.15,0.484,3,Active,3.4,NORMAL_MOVER,0.0,HEALTHY_VELOCITY,626750.8,1.0,626750.8
SKU_002,19690,10591,0.5410833333333334,882.5833333333334,2663,496,1983,28.25,TrendWear Jacket 002,Jackets,FW26,Global,108.59,0.5,1,Active,3.0,SLOW_MOVER,0.15,PROMOTIONAL_MARKDOWN_RECOMMENDED,289175.17,1.25,245798.89
SKU_003,22068,13071,0.58375,1089.25,3452,575,1825,26.0,TrendWear Jacket 003,Jackets,FW26,Global,143.14,0.605,1,Active,3.2,NORMAL_MOVER,0.0,HEALTHY_VELOCITY,494119.28,1.0,494119.28
SKU_004,21110,12277,0.5698333333333333,1023.0833333333334,3533,472,1746,16.0,TrendWear Jacket 004,Jackets,FW26,Global,136.24,0.484,1,Active,3.5,NORMAL_MOVER,0.0,HEALTHY_VELOCITY,481335.92,1.0,481335.92
SKU_005,24418,15266,0.62725,1272.1666666666667,3094,472,1495,32.5,TrendWear Jacket 005,Jackets,FW26,Global,106.49,0.551,1,Active,2.4,FAST_MOVER,0.0,STOCKOUT_VULNERABILITY_ALERT,329480.06,1.0,329480.06
SKU_006,24132,14176,0.5863333333333333,1181.3333333333333,3320,600,1800,18.75,TrendWear Jacket 006,Jackets,FW26,Global,133.9,0.58,4,Active,2.8,NORMAL_MOVER,0.0,HEALTHY_VELOCITY,444548.0,1.0,444548.0
SKU_007,24447,14050,0.5686666666666667,1170.8333333333333,3346,593,1542,30.0,TrendWear Jacket 007,Jackets,FW26,Global,106.64,0.562,1,Active,2.9,NORMAL_MOVER,0.0,HEALTHY_VELOCITY,356817.44,1.0,356817.44
SKU_008,23755,14672,0.6219166666666667,1222.6666666666667,4665,761,2019,19.0,TrendWear Jacket 008,Jackets,FW26,Global,149.7,0.502,4,Active,3.8,FAST_MOVER,0.0,STOCKOUT_VULNERABILITY_ALERT,698350.5,1.0,698350.5
SKU_009,22998,12751,0.5461666666666667,1062.5833333333333,2896,415,2000,24.75,TrendWear Jacket 009,Jackets,FW26,Global,116.22,0.502,3,New,2.7,SLOW_MOVER,0.15,PROMOTIONAL_MARKDOWN_RECOMMENDED,336573.12,1.25,286087.15
SKU_010,24822,14102,0.5653333333333334,1175.1666666666667,2941,409,1537,29.75,TrendWear Shirt 010,Shirts,SS26,Global,43.09,0.533,3,Active,2.5,NORMAL_MOVER,0.0,HEALTHY_VELOCITY,126727.69,1.0,126727.69
SKU_011,22595,14204,0.6276666666666667,1183.6666666666667,3123,655,1967,32.75,TrendWear Shirt 011,Shirts,SS26,Global,72.9,0.565,1,Active,2.6,FAST_MOVER,0.0,STOCKOUT_VULNERABILITY_ALERT,227666.7,1.0,227666.7
SKU_012,25731,14795,0.57875,1232.9166666666667,3991,623,1986,20.5,TrendWear Shirt 012,Shirts,SS26,Global,68.19,0.555,4,Active,3.2,NORMAL_MOVER,0.0,HEALTHY_VELOCITY,272146.29,1.0,272146.29
SKU_013,23960,15015,0.63225,1251.25,4207,762,1784,17.5,TrendWear Shirt 013,Shirts,SS26,Global,42.15,0.521,3,Active,3.4,FAST_MOVER,0.0,STOCKOUT_VULNERABILITY_ALERT,177325.05,1.0,177325.05
SKU_014,24444,14993,0.6048333333333333,1249.4166666666667,3311,630,2047,26.5,TrendWear Shirt 014,Shirts,SS26,Global,62.09,0.579,1,Active,2.7,NORMAL_MOVER,0.0,HEALTHY_VELOCITY,205579.99,1.0,205579.99
SKU_015,24875,14886,0.5926666666666667,1240.5,3360,595,1688,25.5,TrendWear Shirt 015,Shirts,SS26,Global,65.45,0.588,1,Active,2.7,NORMAL_MOVER,0.0,HEALTHY_VELOCITY,219912.0,1.0,219912.0
SKU_016,19778,11437,0.5833333333333334,953.0833333333334,3331,539,1742,21.5,TrendWear Shirt 016,Shirts,SS26,Global,73.21,0.601,4,Active,3.5,NORMAL_MOVER,0.0,HEALTHY_VELOCITY,243862.51,1.0,243862.51
SKU_017,21125,11596,0.5536666666666666,966.3333333333334,3389,526,1913,19.5,TrendWear Shirt 017,Shirts,SS26,Global,50.12,0.569,3,Active,3.5,SLOW_MOVER,0.15,PROMOTIONAL_MARKDOWN_RECOMMENDED,169856.68,1.25,144378.18
SKU_018,25840,14911,0.57475,1242.5833333333333,5063,858,1620,25.75,TrendWear Shirt 018,Shirts,SS26,Global,45.51,0.53,3,Active,4.1,NORMAL_MOVER,0.0,HEALTHY_VELOCITY,230417.13,1.0,230417.13
SKU_019,26590,14505,0.55025,1208.75,2791,430,1518,13.75,TrendWear Shirt 019,Shirts,SS26,Global,67.07,0.576,1,Phase-Out,2.3,SLOW_MOVER,0.15,PROMOTIONAL_MARKDOWN_RECOMMENDED,187192.37,1.25,159113.51
SKU_020,21417,11115,0.5219166666666667,926.25,3156,600,1566,21.5,TrendWear Trouser 020,Trousers,SS26,Global,79.46,0.504,2,Active,3.4,SLOW_MOVER,0.15,PROMOTIONAL_MARKDOWN_RECOMMENDED,250775.76,1.25,213159.4
SKU_021,23087,20222,0.87825,1685.1666666666667,480,876,2000,4.0,TrendWear Trouser 021,Trousers,SS26,Global,57.17,0.533,2,Active,0.3,FAST_MOVER,0.0,STOCKOUT_VULNERABILITY_ALERT,27441.6,1.0,27441.6
SKU_022,26877,14660,0.5445,1221.6666666666667,3434,571,1529,14.75,TrendWear Trouser 022,Trousers,SS26,Global,83.23,0.598,1,Active,2.8,SLOW_MOVER,0.15,PROMOTIONAL_MARKDOWN_RECOMMENDED,285811.82,1.25,242940.05
SKU_023,24158,14267,0.5809166666666666,1188.9166666666667,3560,578,1741,24.25,TrendWear Trouser 023,Trousers,SS26,Global,60.45,0.484,3,Active,3.0,NORMAL_MOVER,0.0,HEALTHY_VELOCITY,215202.0,1.0,215202.0
SKU_024,24380,14180,0.5828333333333333,1181.6666666666667,2873,369,1784,15.75,TrendWear Trouser 024,Trousers,SS26,Global,69.06,0.489,3,Active,2.4,NORMAL_MOVER,0.0,HEALTHY_VELOCITY,198409.38,1.0,198409.38
SKU_025,25103,12939,0.5165833333333333,1078.25,3385,656,1816,26.5,TrendWear Trouser 025,Trousers,SS26,Global,59.63,0.55,4,Active,3.1,SLOW_MOVER,0.15,PROMOTIONAL_MARKDOWN_RECOMMENDED,201847.55,1.25,171570.42
